epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,94.0129,1.68464,3.70864,3.4419,2.12659,0.43102,0.33125,0.31495,0.14882,0.44132,0.30625,0.29158,0.13094,1.67832,2.97823,2.41335,2.27567,0.00330808,0.00330808,0.00330808
2,166.95,1.44657,2.56205,1.92821,1.78194,0.51128,0.49844,0.4832,0.24904,0.50841,0.4875,0.46662,0.22282,1.62049,3.06029,1.69337,2.15607,0.00663484,0.00663484,0.00663484
3,238.559,1.57035,2.748,1.91024,1.88321,0.39477,0.38125,0.29666,0.11633,0.40068,0.38125,0.28636,0.10121,2.0648,4.80162,4.01502,2.79862,0.009955,0.009955,0.009955
4,309.292,1.66726,2.83025,1.94835,1.92886,0.41763,0.40339,0.36347,0.15477,0.42135,0.40731,0.35193,0.13521,1.94112,4.07635,3.2498,2.64326,0.0099703,0.0099703,0.0099703
5,380.051,1.61965,2.76647,1.85681,1.91208,0.4269,0.51095,0.43277,0.20238,0.44157,0.46719,0.41894,0.17763,1.79273,3.53657,3.02223,2.30872,0.0099604,0.0099604,0.0099604
6,450.941,1.59745,2.70375,1.79666,1.90133,0.39727,0.42812,0.35647,0.14156,0.4135,0.33489,0.30926,0.10133,2.21088,3.68365,2.26443,2.67983,0.0099505,0.0099505,0.0099505
7,521.594,1.58196,2.66822,1.79433,1.88467,0.56237,0.59062,0.58686,0.296,0.56226,0.58437,0.5793,0.2704,1.68839,3.00989,1.96892,2.2038,0.0099406,0.0099406,0.0099406
8,592.878,1.55136,2.63177,1.70777,1.86062,0.58912,0.54219,0.57836,0.29565,0.60275,0.53125,0.57075,0.27196,1.69865,3.00278,1.54167,2.23561,0.0099307,0.0099307,0.0099307
9,663.624,1.52743,2.56889,1.66016,1.84674,0.53877,0.48594,0.49859,0.25138,0.47422,0.53594,0.48613,0.23277,1.63907,2.94963,1.83225,2.13141,0.0099208,0.0099208,0.0099208
10,734.233,1.5033,2.54055,1.623,1.83127,0.63982,0.56094,0.6061,0.31893,0.64465,0.56094,0.59576,0.29676,1.58125,2.86063,1.51369,2.05455,0.0099109,0.0099109,0.0099109
11,805.474,1.50653,2.54431,1.63359,1.82639,0.6255,0.54688,0.60759,0.31187,0.61282,0.54409,0.59199,0.29518,1.60348,2.79342,1.52701,2.06045,0.009901,0.009901,0.009901
12,876.225,1.46938,2.50411,1.57016,1.80937,0.6014,0.57344,0.59793,0.34441,0.5986,0.56623,0.59135,0.31357,1.55329,2.80183,1.60199,2.03239,0.0098911,0.0098911,0.0098911
13,947.528,1.47345,2.4702,1.56213,1.79455,0.67618,0.65312,0.66653,0.37221,0.66095,0.67344,0.65957,0.34129,1.49503,2.67761,1.36363,1.99005,0.0098812,0.0098812,0.0098812
14,1018.45,1.43905,2.43158,1.52831,1.76624,0.65751,0.61562,0.68224,0.37945,0.66533,0.61194,0.6818,0.35764,1.50016,2.59511,1.41868,1.98135,0.0098713,0.0098713,0.0098713
15,1089.33,1.44902,2.41119,1.49022,1.77661,0.67507,0.55625,0.63439,0.33703,0.66369,0.54688,0.61626,0.30393,1.61621,2.86246,1.45651,2.04966,0.0098614,0.0098614,0.0098614
16,1159.71,1.45083,2.42147,1.50064,1.76541,0.71167,0.64405,0.69205,0.37838,0.71066,0.6375,0.68578,0.35666,1.522,2.69121,1.32851,2.02913,0.0098515,0.0098515,0.0098515
17,1230.04,1.40583,2.3608,1.44123,1.76541,0.67747,0.63594,0.69741,0.38452,0.68507,0.62541,0.68802,0.36552,1.51194,2.62424,1.3285,2.0458,0.0098416,0.0098416,0.0098416
18,1301.02,1.40097,2.36951,1.44006,1.76678,0.7228,0.66003,0.71579,0.41594,0.72714,0.66719,0.71531,0.39463,1.4227,2.50485,1.2334,1.92519,0.0098317,0.0098317,0.0098317
19,1372.14,1.38564,2.35953,1.44205,1.75045,0.69784,0.66719,0.71514,0.39984,0.68826,0.66923,0.70954,0.38398,1.54488,2.57953,1.28301,2.04238,0.0098218,0.0098218,0.0098218
20,1442.52,1.40658,2.35899,1.45131,1.77566,0.70241,0.65312,0.7177,0.41395,0.70804,0.65555,0.71322,0.38989,1.45388,2.5797,1.22839,1.94459,0.0098119,0.0098119,0.0098119
21,1512.84,1.39186,2.36327,1.45354,1.75168,0.76607,0.65156,0.75204,0.43983,0.7686,0.63906,0.73383,0.40793,1.39797,2.5485,1.16337,1.8925,0.009802,0.009802,0.009802
22,1583.8,1.38279,2.3226,1.40827,1.74634,0.6678,0.68159,0.71549,0.39482,0.65253,0.68125,0.70331,0.37434,1.50447,2.5523,1.27528,2.00111,0.0097921,0.0097921,0.0097921
23,1654.2,1.38104,2.33606,1.39489,1.74623,0.69939,0.67254,0.71007,0.40777,0.75543,0.63225,0.70269,0.39042,1.45396,2.4881,1.21229,1.97422,0.0097822,0.0097822,0.0097822
24,1724.59,1.35029,2.28571,1.394,1.73696,0.69048,0.675,0.71688,0.4094,0.71381,0.67032,0.7164,0.38388,1.50342,2.58542,1.26473,2.06408,0.0097723,0.0097723,0.0097723
25,1795.04,1.36411,2.29461,1.39298,1.74222,0.70952,0.66719,0.71407,0.41303,0.75017,0.65216,0.72052,0.39799,1.42152,2.47576,1.21959,1.94507,0.0097624,0.0097624,0.0097624
26,1865.38,1.36043,2.28178,1.35631,1.72387,0.67156,0.63577,0.69143,0.40231,0.66628,0.63327,0.68884,0.3778,1.48379,2.57637,1.28533,1.99505,0.0097525,0.0097525,0.0097525
27,1935.72,1.33737,2.26433,1.34551,1.70028,0.71227,0.65938,0.72701,0.40805,0.69453,0.65368,0.70909,0.38476,1.49411,2.52884,1.21157,1.97823,0.0097426,0.0097426,0.0097426
28,2006.05,1.33414,2.26538,1.36816,1.70622,0.76186,0.60486,0.70174,0.38369,0.75399,0.59861,0.68695,0.34974,1.59749,2.63027,1.27877,2.06331,0.0097327,0.0097327,0.0097327
29,2076.54,1.33986,2.276,1.35689,1.71394,0.67468,0.6967,0.71491,0.4251,0.68173,0.69844,0.72077,0.40384,1.39059,2.43198,1.17987,1.87581,0.0097228,0.0097228,0.0097228
30,2146.86,1.32862,2.24364,1.33556,1.69893,0.704,0.725,0.75525,0.43554,0.69855,0.6988,0.73378,0.40844,1.40558,2.47191,1.15757,1.88215,0.0097129,0.0097129,0.0097129
31,2217.27,1.31175,2.23074,1.30518,1.68262,0.76098,0.67812,0.74877,0.42694,0.75752,0.68281,0.74073,0.41039,1.42422,2.45589,1.13294,1.94667,0.009703,0.009703,0.009703
32,2287.68,1.32425,2.23743,1.29732,1.68811,0.76149,0.63438,0.73344,0.42884,0.6839,0.68906,0.72042,0.40063,1.42836,2.50048,1.17389,1.90122,0.0096931,0.0096931,0.0096931
33,2358.27,1.29138,2.15326,1.23173,1.65839,0.75802,0.65469,0.74973,0.43704,0.75983,0.65625,0.73981,0.41611,1.42679,2.46769,1.11269,1.89835,0.0096832,0.0096832,0.0096832
34,2429.02,1.29776,2.20958,1.30559,1.67556,0.77682,0.675,0.75805,0.45486,0.77833,0.6748,0.75225,0.42828,1.37972,2.43351,1.13378,1.88232,0.0096733,0.0096733,0.0096733
35,2499.88,1.30393,2.2268,1.26619,1.67497,0.75291,0.69511,0.75787,0.45511,0.74817,0.69168,0.75158,0.42977,1.37539,2.36977,1.11645,1.85141,0.0096634,0.0096634,0.0096634
36,2570.83,1.30152,2.20229,1.26121,1.65553,0.74266,0.68906,0.76163,0.46085,0.74105,0.68413,0.75066,0.44162,1.38529,2.41371,1.12125,1.88974,0.0096535,0.0096535,0.0096535
37,2641.88,1.29199,2.18572,1.24811,1.68737,0.77352,0.6625,0.7324,0.43103,0.76988,0.65938,0.72076,0.41678,1.43128,2.42395,1.14084,1.92617,0.0096436,0.0096436,0.0096436
38,2711.99,1.2942,2.17436,1.23729,1.66832,0.79779,0.65344,0.76162,0.46231,0.79581,0.65161,0.75154,0.4349,1.38514,2.49701,1.09272,1.91977,0.0096337,0.0096337,0.0096337
39,2782.27,1.27172,2.17482,1.25308,1.66226,0.73308,0.69949,0.75839,0.45379,0.73235,0.68594,0.74684,0.42096,1.40429,2.46753,1.11044,1.92045,0.0096238,0.0096238,0.0096238
40,2852.56,1.27784,2.14259,1.22415,1.65904,0.71036,0.69844,0.74189,0.44291,0.71676,0.68594,0.73211,0.41868,1.38833,2.42103,1.13382,1.89545,0.0096139,0.0096139,0.0096139
41,2922.95,1.27533,2.15921,1.23655,1.65419,0.72878,0.66563,0.74959,0.44968,0.72878,0.66563,0.74831,0.42639,1.42996,2.44457,1.12165,1.90433,0.009604,0.009604,0.009604
42,2993.08,1.25117,2.12724,1.20749,1.63179,0.72823,0.74106,0.77376,0.46952,0.7225,0.74687,0.7718,0.44945,1.39367,2.43104,1.06187,1.90568,0.0095941,0.0095941,0.0095941
43,3063.85,1.25502,2.10199,1.21593,1.64573,0.76187,0.69063,0.74933,0.44925,0.76236,0.69063,0.7445,0.42942,1.34675,2.35653,1.11478,1.85778,0.0095842,0.0095842,0.0095842
44,3134.09,1.25106,2.11943,1.20342,1.6344,0.78002,0.68146,0.75464,0.45983,0.77732,0.67656,0.75028,0.4374,1.36573,2.41316,1.10673,1.84004,0.0095743,0.0095743,0.0095743
45,3204.38,1.24617,2.09074,1.18833,1.62312,0.7178,0.66406,0.73113,0.43112,0.73775,0.62969,0.71322,0.3968,1.45968,2.5522,1.16917,1.95431,0.0095644,0.0095644,0.0095644
